,Geo_ID,Food Access Number (2015),Food Access Rate (2015),"#children in SNAP, age 0-5 (2016)","%children in SNAP, age 0-5 (2016)","#children in SNAP, age 0-17 (2016)","%children in SNAP, age 0-17 (2016)",Geo_Group,% with Private Insurance (12-16),% with Public Insurance (12-16),Uninsured (12-16)
61,61.0,4632.0,10.4,2919.0,73.0,8877.0,75.0,New City,31.0,50.0,24.0
62,62.0,834.0,4.6,605.0,41.0,1839.0,31.0,West Elsdon,49.0,42.0,15.0
63,63.0,150.0,0.4,2122.0,51.0,6894.0,50.0,Gage Park,29.0,49.0,26.0
64,64.0,3340.0,14.4,498.0,25.0,1470.0,24.0,Clearing,67.0,29.0,11.0
65,65.0,4346.0,13.0,1300.0,47.0,4004.0,38.0,West Lawn,48.0,39.0,18.0
66,66.0,3251.0,5.8,3262.0,69.0,10000.0,66.0,Chicago Lawn,32.0,51.0,22.0
67,67.0,10582.0,29.8,2509.0,99.0,7042.0,93.0,West Englewood,28.0,59.0,19.0
68,68.0,4186.0,13.7,1975.0,82.0,5612.0,86.0,Englewood,22.0,67.0,17.0
69,69.0,7609.0,23.3,2347.0,99.0,6246.0,93.0,Grt.Grand Crossing,38.0,56.0,15.0
70,70.0,7889.0,19.2,1116.0,30.0,3452.0,27.0,Ashburn,63.0,34.0,11.0
71,71.0,5231.0,10.7,2387.0,98.0,6890.0,70.0,Auburn Gresham,41.0,52.0,16.0
72,72.0,1758.0,8.8,141.0,7.0,470.0,8.0,Beverly,89.0,20.0,4.0
73,73.0,5964.0,22.5,934.0,63.0,2873.0,48.0,Washington Heights,55.0,47.0,11.0
74,74.0,903.0,4.7,70.0,3.0,206.0,4.0,Mount Greenwood,93.0,15.0,3.0
75,75.0,3579.0,12.6,731.0,47.0,2120.0,35.0,Morgan Park,66.0,39.0,8.0
76,76.0,7730.0,24.1,388.0,35.0,974.0,25.0,O'Hare,55.0,34.0,19.0
77,77.0,927.0,1.6,536.0,22.0,1554.0,24.0,Edgewater,67.0,28.0,14.0
